Model,Base Price,Dest. Charge,Tax Credit,Effective Price
"2023 Rivian R1T QM AWD, Large Pack, AT 20-inch","$90,850 ","$1,800 ",N/A,"$92,650 "
"2023 Rivian R1T QM AWD, Large Pack, 21-inch","$87,000 ","$1,800 ",N/A,"$88,800 "
"2023 Rivian R1T QM AWD, Large Pack, 22-inch","$89,500 ","$1,800 ",N/A,"$91,300 "
2023 Subaru Solterra Premium AWD 18-inch,"$44,995 ","$1,225 ",N/A,"$46,220 "
2023 Subaru Solterra Limited AWD 20-inch,"$48,495 ","$1,225 ",N/A,"$49,720 "
2023 Subaru Solterra Touring AWD 20-inch,"$51,995 ","$1,225 ",N/A,"$53,220 "
2023 Tesla Model 3 RWD 18-inch,"$40,240 ","$1,640 ","$3,750 ","$38,130 "
2023 Tesla Model 3 RWD 19-inch,"$41,740 ","$1,640 ","$3,750 ","$39,630 "
2023 Tesla Model 3 Long Range AWD 18-inch,"$47,240 ","$1,640 ","$3,750 ","$45,130 "
2023 Tesla Model 3 Long Range AWD 19-inch,"$48,740 ","$1,640 ","$3,750 ","$46,630 "
2023 Tesla Model 3 Perf. LR AWD 20-inch,"$53,240 ","$1,640 ","$7,500 ","$47,380 "
2023 Tesla Model S LR AWD 19-inch,"$88,490 ","$1,640 ",N/A,"$90,130 "
2023 Tesla Model S LR AWD 21-inch,"$92,990 ","$1,640 ",N/A,"$94,630 "
2023 Tesla Model S Plaid 19-inch,"$108,490 ","$1,640 ",N/A,"$110,130 "
2023 Tesla Model S Plaid 21-inch,"$112,990 ","$1,640 ",N/A,"$114,630 "
2023 Tesla Model X LR AWD 20-inch,"$98,490 ","$1,640 ",N/A,"$100,130 "
2023 Tesla Model X LR AWD 22-inch,"$103,990 ","$1,640 ",N/A,"$105,630 "
2023 Tesla Model X Plaid 20-inch,"$108,490 ","$1,640 ",N/A,"$110,130 "
2023 Tesla Model X Plaid 22-inch,"$113,990 ","$1,640 ",N/A,"$115,630 "
2023 Tesla Model Y AWD (4680) 19-inch,"$47,490 ","$1,640 ","$7,500 ","$41,630 "
2023 Tesla Model Y AWD (4680) 20-inch,"$49,490 ","$1,640 ","$7,500 ","$43,630 "
2023 Tesla Model Y Long Range AWD 19-inch,"$50,490 ","$1,640 ","$7,500 ","$44,630 "
2023 Tesla Model Y Long Range AWD 20-inch,"$52,490 ","$1,640 ","$7,500 ","$46,630 "
2023 Tesla Model Y Perf. LR AWD 21-inch,"$54,490 ","$1,640 ","$7,500 ","$48,630 "
2023 Toyota bZ4X XLE FWD 18-inch,"$42,000 ","$1,335 ",N/A,"$43,335 "
2023 Toyota bZ4X Limited FWD 20-inch,"$46,700 ","$1,335 ",N/A,"$48,035 "
2023 Toyota bZ4X XLE AWD 18-inch,"$44,080 ","$1,335 ",N/A,"$45,415 "
2023 Toyota bZ4X Limited AWD 20-inch,"$48,780 ","$1,335 ",N/A,"$50,115 "
2023 Vinfast VF 8 City Edition Eco 19-inch,"$49,000 ","$1,200 ",N/A,"$50,200 "
2023 Vinfast VF 8 City Edition Plus 20-inch,"$56,000 ","$1,200 ",N/A,"$57,200 "
2023 Vinfast VF 8 Standard Edition Eco 19-inch,"$46,000 ","$1,200 ",N/A,"$47,200 "
2023 Vinfast VF 8 Standard Edition Plus 20-inch,"$51,800 ","$1,200 ",N/A,"$53,000 "
2023 Volkswagen ID.4 Standard 19-inch,"$38,995 ","$1,295 ","$7,500 ","$32,790 "
2023 Volkswagen ID.4 S 20-inch,"$43,995 ","$1,295 ","$7,500 ","$37,790 "
2023 Volkswagen ID.4 Pro 19-inch,"$43,995 ","$1,295 ","$7,500 ","$37,790 "
2023 Volkswagen ID.4 Pro S 20-inch,"$48,995 ","$1,295 ","$7,500 ","$42,790 "
2023 Volkswagen ID.4 AWD Pro 19-inch,"$47,795 ","$1,295 ","$7,500 ","$41,590 "
2023 Volkswagen ID.4 AWD Pro S 20-inch,"$52,795 ","$1,295 ","$7,500 ","$46,590 "
2023 Volvo C40 Recharge 19-inch,"$55,300 ","$1,095 ",N/A,"$56,395 "
2023 Volvo XC40 Recharge 19-inch,"$53,550 ","$1,095 ",N/A,"$54,645 "
2024 Volvo C40 Recharge RWD 19-inch,,,N/A,
2024 Volvo C40 Recharge AWD 19-inch,,,N/A,
2024 Volvo XC40 Recharge RWD 19-inch,,,N/A,
2024 Volvo XC40 Recharge AWD 19-inch,,,N/A,
